epoch 	 train 1            	 train 5               	 val 1              	 val 5
0	0	0	0	0
1	0.025298013	0.104782929	0.03025641	0.125677656
2	0.053053716	0.190941869	0.032051282	0.12956044
3	0.079450576	0.269789061	0.042564103	0.177399267
4	0.105523669	0.337544763	0.066703297	0.234688645
5	0.139146431	0.40473142	0.05989011	0.202124542
6	0.170934511	0.466122149	0.063919414	0.203040293
7	0.207755703	0.528989453	0.114322344	0.313479853
8	0.248565121	0.582077508	0.107326007	0.333076923
9	0.291545254	0.636752514	0.142234432	0.406593407
10	0.342830513	0.688302674	0.154542125	0.426703297
11	0.42470444	0.782965416	0.228021978	0.551575092
12	0.480598479	0.827289674	0.246813187	0.564835165
13	0.715158205	0.943993132	0.447289377	0.776630037
14	0.807831739	0.97511896	0.439304029	0.775641026
15	0.866580819	0.987503066	0.447399267	0.777362637
16	0.91933039	0.994172185	0.452527473	0.778131868
17	0.938952661	0.996907039	0.443150183	0.776410256
18	0.937674761	0.996821192	0.444432234	0.777545788
19	0.937628158	0.996688742	0.447472527	0.775494505
20	0.939170959	0.996688742	0.447509158	0.778095238
21	0.939973019	0.996556291	0.444065934	0.777472527
